Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
993.1253,50000000,996.501,50000000
0.2612,5000,0.0366,5000
0.2013,125000,0.2312,125000
0.0342,10000,0.0428,10000
0.0457,12500,0.0567,12500
0.3383,250000,0.6823,250000
1.7403,500000,1.7687,500000
23.2486,12500000,25.921,12500000
3.4999,2500000,6.2947,2500000
12.3037,5000000,15.4823,5000000
0.0825,25000,0.095,25000
0.0197,125,0.028,125
0.0868,50000,0.3478,50000
0.0329,500,0.0281,500
2923.1059,100000000,2926.371,100000000
0.0177,1000,4.5685,1000
0.0572,2500,0.0355,2500
0.0795,1250,0.0273,1250
1.9697,1250000,2.786,1250000
2.3793,1000000,4.0003,1000000
0.1345,250,0.0483,250
51.6131,25000000,954.4222,25000000
0.1641,100000,0.5396,100000
19.847,10000000,23.0708,10000000
