Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
1935.8504,50000000,1938.8812,50000000
0.1757,5000,0.0507,5000
0.3789,125000,0.5899,125000
0.4026,10000,0.107,10000
0.07,12500,0.1462,12500
0.6269,250000,0.922,250000
1.0537,500000,1.6026,500000
934.9534,12500000,937.7641,12500000
6.1541,2500000,7.5993,2500000
10.9235,5000000,14.1029,5000000
0.2208,25000,0.3496,25000
0.0277,125,0.0248,125
0.1495,50000,0.195,50000
0.0216,500,0.0261,500
3016.3488,100000000,3019.4991,100000000
0.0314,1000,0.0325,1000
0.0411,2500,0.0521,2500
0.0269,1250,0.038,1250
2.5829,1250000,3.5713,1250000
2.1582,1000000,2.9659,1000000
0.0212,250,0.0235,250
973.3804,25000000,976.6869,25000000
0.3341,100000,0.5284,100000
933.3418,10000000,936.746,10000000
