Master Transmission Time,Master File Size,Slave Transmission Time,Slave File Size
1063.2183,50000000,1067.0158,50000000
0.0565,5000,0.0553,5000
1.006,125000,0.817,125000
0.0701,10000,0.0794,10000
0.0813,12500,0.0895,12500
1.0505,250000,1.1023,250000
1.4932,500000,2.4026,500000
48.2446,12500000,51.6741,12500000
6.809,2500000,9.4103,2500000
14.9359,5000000,17.9528,5000000
0.1711,25000,0.165,25000
0.0512,125,0.0197,125
0.1589,50000,0.2124,50000
0.0216,500,0.0201,500
4045.9551,100000000,4049.4157,100000000
0.0258,1000,0.0283,1000
0.0237,2500,0.0471,2500
0.0212,1250,0.043,1250
4.2949,1250000,5.7868,1250000
3.4728,1000000,4.5133,1000000
0.0194,250,0.0209,250
1930.8846,25000000,1934.9099,25000000
1.2525,100000,1.3169,100000
948.4195,10000000,951.7035,10000000
